epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.938,1.60234,1.63525,1.36518,0.74199,0.72501,0.77856,0.39597,1.62114,1.25347,1.39904,0.000333051,0.000333051,0.067028
2,235.114,1.51739,1.28686,1.31597,0.79156,0.74813,0.81107,0.41004,1.66881,1.11363,1.40765,0.000659787,0.000659787,0.0340214
3,341.54,1.49198,1.19084,1.30165,0.81028,0.76872,0.82733,0.41372,1.71387,1.03614,1.42475,0.000979923,0.000979923,0.00100817
4,474.627,1.47409,1.13973,1.29404,0.83357,0.79194,0.83553,0.48921,1.45493,0.94735,1.28097,0.0009703,0.0009703,0.0009703
5,620.921,1.43702,1.07661,1.27118,0.8193,0.80438,0.83986,0.49619,1.44178,0.90617,1.28111,0.0009604,0.0009604,0.0009604
6,775.108,1.43495,1.05371,1.26993,0.8265,0.80847,0.84273,0.4981,1.45334,0.8923,1.27764,0.0009505,0.0009505,0.0009505
7,891.07,1.4192,1.02403,1.26475,0.85168,0.80093,0.86367,0.4969,1.45745,0.88839,1.2761,0.0009406,0.0009406,0.0009406
8,1020.73,1.41043,1.00562,1.25557,0.86827,0.81315,0.88247,0.52105,1.43578,0.82056,1.26346,0.0009307,0.0009307,0.0009307
9,1163.93,1.40223,0.99328,1.25245,0.8646,0.81456,0.88879,0.49058,1.54433,0.84345,1.31404,0.0009208,0.0009208,0.0009208
10,1295.26,1.39921,0.97683,1.24864,0.87072,0.82311,0.88976,0.51317,1.46187,0.80148,1.27213,0.0009109,0.0009109,0.0009109
11,1434.27,1.37975,0.94386,1.24105,0.86366,0.80626,0.87984,0.51372,1.44951,0.81475,1.2747,0.000901,0.000901,0.000901
12,1562.19,1.37254,0.93438,1.23534,0.87125,0.82129,0.88349,0.52404,1.40643,0.77961,1.24102,0.0008911,0.0008911,0.0008911
13,1699.5,1.35522,0.9141,1.22234,0.87969,0.82607,0.89045,0.53578,1.38641,0.75946,1.2338,0.0008812,0.0008812,0.0008812
14,1835.3,1.36609,0.92098,1.2363,0.87349,0.83033,0.89451,0.53905,1.40293,0.783,1.2384,0.0008713,0.0008713,0.0008713
15,1967.8,1.35893,0.90352,1.21708,0.8767,0.82744,0.89322,0.54605,1.35109,0.7595,1.21769,0.0008614,0.0008614,0.0008614
16,2109.63,1.34438,0.8859,1.2117,0.86482,0.83477,0.8951,0.5537,1.33925,0.75738,1.20862,0.0008515,0.0008515,0.0008515
17,2249.89,1.35561,0.89163,1.22191,0.87241,0.84863,0.89798,0.54855,1.34272,0.73675,1.21236,0.0008416,0.0008416,0.0008416
18,2388.76,1.33234,0.87242,1.21153,0.87895,0.83416,0.90019,0.53955,1.35907,0.72842,1.21505,0.0008317,0.0008317,0.0008317
19,2525.22,1.3321,0.89469,1.21488,0.87476,0.84241,0.90385,0.56434,1.31684,0.71643,1.2037,0.0008218,0.0008218,0.0008218
20,2668.12,1.32963,0.86663,1.20986,0.87725,0.84425,0.90155,0.54565,1.36846,0.72722,1.22683,0.0008119,0.0008119,0.0008119
