epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0671,1.20206,2.51567,1.4564,0.41156,0.53215,0.43587,0.24971,1.34648,1.8588,1.4771,0.000554374,0.000554374,0.000554374
2,155.494,1.24696,1.88242,1.50166,0.40913,0.54516,0.43112,0.23076,1.38631,1.69739,1.56128,0.00107341,0.00107341,0.00107341
3,231.364,1.26844,1.56465,1.52429,0.62274,0.44649,0.47815,0.25545,1.50708,1.59593,1.56487,0.00155577,0.00155577,0.00155577
4,291.34,1.23559,1.32568,1.47955,0.50774,0.53233,0.52404,0.29465,1.42806,1.34455,1.51308,0.00150197,0.00150197,0.00150197
5,355.52,1.19349,1.25572,1.45775,0.62651,0.60317,0.6065,0.35835,1.24005,1.15838,1.36753,0.00144696,0.00144696,0.00144696
6,408.65,1.13861,1.10087,1.39829,0.53282,0.64817,0.61532,0.34624,1.32145,1.2086,1.44324,0.00139195,0.00139195,0.00139195
7,459.087,1.11056,1.04508,1.36647,0.61923,0.61151,0.63215,0.38612,1.2492,1.10552,1.37503,0.00133693,0.00133693,0.00133693
8,509.599,1.06873,0.96556,1.34898,0.63241,0.66825,0.66222,0.38888,1.25504,1.0511,1.38104,0.00128192,0.00128192,0.00128192
9,564.365,1.04379,0.937,1.33453,0.56793,0.69876,0.59899,0.36906,1.18748,1.11664,1.29783,0.00122691,0.00122691,0.00122691
10,624.002,1.01441,0.88861,1.2947,0.61395,0.68314,0.65503,0.38436,1.26884,0.9871,1.39112,0.0011719,0.0011719,0.0011719
11,674.371,0.9946,0.84399,1.28159,0.62584,0.68428,0.64656,0.39131,1.23887,0.9886,1.34864,0.00111689,0.00111689,0.00111689
12,729.741,0.9717,0.8338,1.26458,0.63625,0.71366,0.67546,0.41814,1.19688,0.93229,1.31686,0.00106188,0.00106188,0.00106188
13,780.774,0.9413,0.77152,1.24679,0.71085,0.7027,0.71077,0.43332,1.1704,0.92341,1.28638,0.00100687,0.00100687,0.00100687
14,831.54,0.93862,0.76522,1.24732,0.63171,0.70509,0.66844,0.41142,1.18393,0.95987,1.29988,0.000951857,0.000951857,0.000951857
15,882.313,0.91105,0.72231,1.22194,0.68304,0.71834,0.69867,0.43514,1.15562,0.90194,1.2947,0.000896846,0.000896846,0.000896846
16,951.347,0.87291,0.69431,1.19478,0.70745,0.71696,0.71932,0.4478,1.16614,0.87955,1.2979,0.000841835,0.000841835,0.000841835
17,1024.51,0.88036,0.69189,1.18863,0.67586,0.74766,0.71806,0.44895,1.14415,0.86509,1.27662,0.000786824,0.000786824,0.000786824
18,1076.86,0.85841,0.66504,1.17807,0.69207,0.7023,0.69373,0.43552,1.16376,0.85948,1.29073,0.000731813,0.000731813,0.000731813
19,1129.47,0.84678,0.65831,1.16543,0.67163,0.7048,0.71563,0.45059,1.14026,0.85791,1.2658,0.000676802,0.000676802,0.000676802
20,1183.21,0.82356,0.62308,1.1469,0.67451,0.77333,0.73419,0.45151,1.17374,0.80475,1.29975,0.000621791,0.000621791,0.000621791
21,1262.75,0.81111,0.61127,1.14149,0.73106,0.69516,0.72817,0.45731,1.14134,0.80818,1.27894,0.00056678,0.00056678,0.00056678
22,1343.4,0.80342,0.5712,1.13529,0.70509,0.73368,0.73302,0.45937,1.11899,0.79356,1.24814,0.000511769,0.000511769,0.000511769
23,1400.82,0.7845,0.55743,1.11927,0.72682,0.74176,0.74052,0.46904,1.10247,0.79976,1.21651,0.000456758,0.000456758,0.000456758
24,1451.44,0.76424,0.54048,1.10592,0.76804,0.73057,0.77029,0.48485,1.11083,0.78327,1.2341,0.000401747,0.000401747,0.000401747
25,1502.94,0.75538,0.51602,1.09181,0.7788,0.76171,0.76133,0.48515,1.11675,0.7997,1.23634,0.000346736,0.000346736,0.000346736
26,1555.83,0.73463,0.50904,1.091,0.76478,0.75754,0.75677,0.48326,1.08945,0.75987,1.22527,0.000291725,0.000291725,0.000291725
27,1608.54,0.72057,0.48674,1.06987,0.74683,0.73275,0.75651,0.48963,1.09078,0.7531,1.23294,0.000236714,0.000236714,0.000236714
28,1662.1,0.70345,0.47961,1.05738,0.71992,0.76411,0.75474,0.48298,1.09292,0.76112,1.23531,0.000181703,0.000181703,0.000181703
29,1715.79,0.69725,0.47101,1.05521,0.73119,0.74822,0.75811,0.48543,1.09794,0.74771,1.23791,0.000126692,0.000126692,0.000126692
30,1766.97,0.68864,0.46028,1.05022,0.73509,0.75908,0.75622,0.48885,1.09471,0.74538,1.23554,7.1681e-05,7.1681e-05,7.1681e-05
